,No,Text,Label,tokens,tokens_fdist,normalized,tokens_stemmed
167,168,pernah gak sih lu kesepian sendiri di kosan gak enak bangeeett mendingan rame rame di kosan sama temen temen walopun sesek karena kamar kosan kepenuhan juga gapapa,1,"['pernah', 'gak', 'sih', 'lu', 'kesepian', 'sendiri', 'di', 'kosan', 'gak', 'enak', 'bangeeett', 'mendingan', 'rame', 'rame', 'di', 'kosan', 'sama', 'temen', 'temen', 'walopun', 'sesek', 'karena', 'kamar', 'kosan', 'kepenuhan', 'juga', 'gapapa']","['lu', 'kesepian', 'kosan', 'enak', 'bangeeett', 'mendingan', 'rame', 'rame', 'kosan', 'temen', 'temen', 'walopun', 'sesek', 'kamar', 'kosan', 'kepenuhan', 'gapapa']","['pernah', 'tidak', 'sih', 'lu', 'kesepian', 'sendiri', 'di', 'kosan', 'tidak', 'enak', 'bangeeett', 'mendingan', 'rame', 'rame', 'di', 'kosan', 'sama', 'temen', 'temen', 'walopun', 'sesek', 'karena', 'kamar', 'kosan', 'kepenuhan', 'juga', 'tidak apa apa']","['pernah', 'tidak', 'sih', 'lu', 'sepi', 'sendiri', 'di', 'kosan', 'tidak', 'enak', 'bangeeett', 'mending', 'rame', 'rame', 'di', 'kosan', 'sama', 'temen', 'temen', 'walopun', 'sek', 'karena', 'kamar', 'kosan', 'penuh', 'juga', 'tidak apa apa']"
168,169,daripada nangis mulu di rumah abis putus mending pergi ke luar party sama temen temen gak sih,1,"['daripada', 'nangis', 'mulu', 'di', 'rumah', 'abis', 'putus', 'mending', 'pergi', 'ke', 'luar', 'party', 'sama', 'temen', 'temen', 'gak', 'sih']","['nangis', 'mulu', 'rumah', 'abis', 'putus', 'mending', 'pergi', 'party', 'temen', 'temen']","['daripada', 'nangis', 'mulu', 'di', 'rumah', 'abis', 'putus', 'mending', 'pergi', 'ke', 'luar', 'party', 'sama', 'temen', 'temen', 'tidak', 'sih']","['daripada', 'nang', 'mulu', 'di', 'rumah', 'abis', 'putus', 'mending', 'pergi', 'ke', 'luar', 'party', 'sama', 'temen', 'temen', 'tidak', 'sih']"
169,170,aku beneran gapapa ditinggal sama ortu asal di rumah ada saudara atau temen temen yang bisa nemenin aku,1,"['aku', 'beneran', 'gapapa', 'ditinggal', 'sama', 'ortu', 'asal', 'di', 'rumah', 'ada', 'saudara', 'atau', 'temen', 'temen', 'yang', 'bisa', 'nemenin', 'aku']","['beneran', 'gapapa', 'ditinggal', 'ortu', 'rumah', 'saudara', 'temen', 'temen', 'nemenin']","['saya', 'beneran', 'tidak apa apa', 'ditinggal', 'sama', 'ortu', 'asal', 'di', 'rumah', 'ada', 'saudara', 'atau', 'temen', 'temen', 'yang', 'bisa', 'nemenin', 'saya']","['saya', 'beneran', 'tidak apa apa', 'tinggal', 'sama', 'ortu', 'asal', 'di', 'rumah', 'ada', 'saudara', 'atau', 'temen', 'temen', 'yang', 'bisa', 'nemenin', 'saya']"
170,171,bahagia banget banyak yang dateng ke syukuran wisuda akuuuuuu,1,"['bahagia', 'banget', 'banyak', 'yang', 'dateng', 'ke', 'syukuran', 'wisuda', 'akuuuuuu']","['bahagia', 'banget', 'dateng', 'syukuran', 'wisuda', 'akuuuuuu']","['bahagia', 'banget', 'banyak', 'yang', 'dateng', 'ke', 'syukuran', 'wisuda', 'akuuuuuu']","['bahagia', 'banget', 'banyak', 'yang', 'dateng', 'ke', 'syukur', 'wisuda', 'akuuuuuu']"
171,172,aku sama teman teman dekatku dari dulu gak pernah pisah selalu main bareng wakopun kita semua beda beda sekolah seru banget deh pokoknya,1,"['aku', 'sama', 'teman', 'teman', 'dekatku', 'dari', 'dulu', 'gak', 'pernah', 'pisah', 'selalu', 'main', 'bareng', 'wakopun', 'kita', 'semua', 'beda', 'beda', 'sekolah', 'seru', 'banget', 'deh', 'pokoknya']","['teman', 'teman', 'dekatku', 'pisah', 'main', 'bareng', 'wakopun', 'beda', 'beda', 'sekolah', 'seru', 'banget', 'deh', 'pokoknya']","['saya', 'sama', 'teman', 'teman', 'dekatku', 'dari', 'dulu', 'tidak', 'pernah', 'pisah', 'selalu', 'main', 'bareng', 'wakopun', 'kita', 'semua', 'beda', 'beda', 'sekolah', 'seru', 'banget', 'deh', 'pokoknya']","['saya', 'sama', 'teman', 'teman', 'dekat', 'dari', 'dulu', 'tidak', 'pernah', 'pisah', 'selalu', 'main', 'bareng', 'wakopun', 'kita', 'semua', 'beda', 'beda', 'sekolah', 'seru', 'banget', 'deh', 'pokok']"
172,173,deket rumah ada kafe enak kursinya lucu besok coba lagi kesana ah ajakin temen temen yang belum pernah,1,"['deket', 'rumah', 'ada', 'kafe', 'enak', 'kursinya', 'lucu', 'besok', 'coba', 'lagi', 'kesana', 'ah', 'ajakin', 'temen', 'temen', 'yang', 'belum', 'pernah']","['deket', 'rumah', 'kafe', 'enak', 'kursinya', 'lucu', 'besok', 'coba', 'kesana', 'ah', 'ajakin', 'temen', 'temen']","['deket', 'rumah', 'ada', 'kafe', 'enak', 'kursinya', 'lucu', 'besok', 'coba', 'lagi', 'kesana', 'ah', 'ajakin', 'temen', 'temen', 'yang', 'belum', 'pernah']","['deket', 'rumah', 'ada', 'kafe', 'enak', 'kursi', 'lucu', 'besok', 'coba', 'lagi', 'kesana', 'ah', 'ajakin', 'temen', 'temen', 'yang', 'belum', 'pernah']"
173,174,lima jam gak kerasa ya kalo lagi ngobrol sama temen temen ngumpul ngumpul nongkrong di kafe,1,"['lima', 'jam', 'gak', 'kerasa', 'ya', 'kalo', 'lagi', 'ngobrol', 'sama', 'temen', 'temen', 'ngumpul', 'ngumpul', 'nongkrong', 'di', 'kafe']","['jam', 'kerasa', 'ngobrol', 'temen', 'temen', 'ngumpul', 'ngumpul', 'nongkrong', 'kafe']","['lima', 'jam', 'tidak', 'kerasa', 'ya', 'kalau', 'lagi', 'ngobrol', 'sama', 'temen', 'temen', 'ngumpul', 'ngumpul', 'nongkrong', 'di', 'kafe']","['lima', 'jam', 'tidak', 'rasa', 'ya', 'kalau', 'lagi', 'ngobrol', 'sama', 'temen', 'temen', 'ngumpul', 'ngumpul', 'nongkrong', 'di', 'kafe']"
174,175,secinta cintanya gue dirumah gue bakal lebih seneng keluar rumah jalan jalan sama temen temen gue deh beneran,1,"['secinta', 'cintanya', 'gue', 'dirumah', 'gue', 'bakal', 'lebih', 'seneng', 'keluar', 'rumah', 'jalan', 'jalan', 'sama', 'temen', 'temen', 'gue', 'deh', 'beneran']","['secinta', 'cintanya', 'gue', 'dirumah', 'gue', 'seneng', 'rumah', 'jalan', 'jalan', 'temen', 'temen', 'gue', 'deh', 'beneran']","['secinta', 'cintanya', 'saya', 'dirumah', 'saya', 'bakal', 'lebih', 'seneng', 'keluar', 'rumah', 'jalan', 'jalan', 'sama', 'temen', 'temen', 'saya', 'deh', 'beneran']","['cinta', 'cinta', 'saya', 'rumah', 'saya', 'bakal', 'lebih', 'neng', 'keluar', 'rumah', 'jalan', 'jalan', 'sama', 'temen', 'temen', 'saya', 'deh', 'beneran']"
175,176,malas ngapangapain kalo gak sama temen pokoknya gue kalo kerja atau main tetep harus ada temen,1,"['malas', 'ngapangapain', 'kalo', 'gak', 'sama', 'temen', 'pokoknya', 'gue', 'kalo', 'kerja', 'atau', 'main', 'tetep', 'harus', 'ada', 'temen']","['malas', 'ngapangapain', 'temen', 'pokoknya', 'gue', 'kerja', 'main', 'tetep', 'temen']","['malas', 'ngapangapain', 'kalau', 'tidak', 'sama', 'temen', 'pokoknya', 'saya', 'kalau', 'kerja', 'atau', 'main', 'tetep', 'harus', 'ada', 'temen']","['malas', 'ngapangapain', 'kalau', 'tidak', 'sama', 'temen', 'pokok', 'saya', 'kalau', 'kerja', 'atau', 'main', 'tetep', 'harus', 'ada', 'temen']"
176,177,gapapa aman aja gue sih asalkan ada temen gue bisa ngapain aja mau jalan sejauh apa juga hayu,1,"['gapapa', 'aman', 'aja', 'gue', 'sih', 'asalkan', 'ada', 'temen', 'gue', 'bisa', 'ngapain', 'aja', 'mau', 'jalan', 'sejauh', 'apa', 'juga', 'hayu']","['gapapa', 'aman', 'gue', 'temen', 'gue', 'ngapain', 'jalan', 'hayu']","['tidak apa apa', 'aman', 'saja', 'saya', 'sih', 'asalkan', 'ada', 'temen', 'saya', 'bisa', 'ngapain', 'saja', 'mau', 'jalan', 'sejauh', 'apa', 'juga', 'hayu']","['tidak apa apa', 'aman', 'saja', 'saya', 'sih', 'asal', 'ada', 'temen', 'saya', 'bisa', 'ngapain', 'saja', 'mau', 'jalan', 'jauh', 'apa', 'juga', 'hayu']"
177,178,sejak kapan diem di rumah jadi hal yang menyenangkan buat gue sama sekali nggak mending keluyuran deh sama temen temen,1,"['sejak', 'kapan', 'diem', 'di', 'rumah', 'jadi', 'hal', 'yang', 'menyenangkan', 'buat', 'gue', 'sama', 'sekali', 'nggak', 'mending', 'keluyuran', 'deh', 'sama', 'temen', 'temen']","['diem', 'rumah', 'menyenangkan', 'gue', 'nggak', 'mending', 'keluyuran', 'deh', 'temen', 'temen']","['sejak', 'kapan', 'diem', 'di', 'rumah', 'jadi', 'hal', 'yang', 'menyenangkan', 'buat', 'saya', 'sama', 'sekali', 'nggak', 'mending', 'keluyuran', 'deh', 'sama', 'temen', 'temen']","['sejak', 'kapan', 'diem', 'di', 'rumah', 'jadi', 'hal', 'yang', 'senang', 'buat', 'saya', 'sama', 'sekali', 'nggak', 'mending', 'keluyur', 'deh', 'sama', 'temen', 'temen']"
178,179,dunia ini bakal sepi kalau gak ada temen temen yang selama ini temenin gue kemanamana dan ngapangapain bareng,1,"['dunia', 'ini', 'bakal', 'sepi', 'kalau', 'gak', 'ada', 'temen', 'temen', 'yang', 'selama', 'ini', 'temenin', 'gue', 'kemanamana', 'dan', 'ngapangapain', 'bareng']","['dunia', 'sepi', 'temen', 'temen', 'temenin', 'gue', 'kemanamana', 'ngapangapain', 'bareng']","['dunia', 'ini', 'bakal', 'sepi', 'kalau', 'tidak', 'ada', 'temen', 'temen', 'yang', 'selama', 'ini', 'temenin', 'saya', 'kemanamana', 'dan', 'ngapangapain', 'bareng']","['dunia', 'ini', 'bakal', 'sepi', 'kalau', 'tidak', 'ada', 'temen', 'temen', 'yang', 'lama', 'ini', 'temenin', 'saya', 'kemanamana', 'dan', 'ngapangapain', 'bareng']"
179,180,ngerjain tugas di coffee shop bareng temen temen seru banget dehmana bisa disini seharian asik pokoknya,1,"['ngerjain', 'tugas', 'di', 'coffee', 'shop', 'bareng', 'temen', 'temen', 'seru', 'banget', 'dehmana', 'bisa', 'disini', 'seharian', 'asik', 'pokoknya']","['ngerjain', 'tugas', 'coffee', 'shop', 'bareng', 'temen', 'temen', 'seru', 'banget', 'dehmana', 'seharian', 'asik', 'pokoknya']","['ngerjain', 'tugas', 'di', 'coffee', 'shop', 'bareng', 'temen', 'temen', 'seru', 'banget', 'dehmana', 'bisa', 'disini', 'seharian', 'asik', 'pokoknya']","['ngerjain', 'tugas', 'di', 'coffee', 'shop', 'bareng', 'temen', 'temen', 'seru', 'banget', 'dehmana', 'bisa', 'sini', 'hari', 'asik', 'pokok']"
180,181,support system terbaik adalah punya temen yang banyak,1,"['support', 'system', 'terbaik', 'adalah', 'punya', 'temen', 'yang', 'banyak']","['support', 'system', 'terbaik', 'temen']","['support', 'system', 'terbaik', 'adalah', 'punya', 'temen', 'yang', 'banyak']","['support', 'system', 'baik', 'adalah', 'punya', 'temen', 'yang', 'banyak']"
181,182,excited banget nyari hotel buat nginep pas nanti liburan bareng temen temen gue,1,"['excited', 'banget', 'nyari', 'hotel', 'buat', 'nginep', 'pas', 'nanti', 'liburan', 'bareng', 'temen', 'temen', 'gue']","['excited', 'banget', 'nyari', 'hotel', 'nginep', 'pas', 'liburan', 'bareng', 'temen', 'temen', 'gue']","['excited', 'banget', 'nyari', 'hotel', 'buat', 'menginap', 'pas', 'nanti', 'liburan', 'bareng', 'temen', 'temen', 'saya']","['excited', 'banget', 'nyari', 'hotel', 'buat', 'inap', 'pas', 'nanti', 'libur', 'bareng', 'temen', 'temen', 'saya']"
182,183,pengen jadi konglomerat biar bisa traktir temen temen gue tiap hari party party hepi hepi terus,1,"['pengen', 'jadi', 'konglomerat', 'biar', 'bisa', 'traktir', 'temen', 'temen', 'gue', 'tiap', 'hari', 'party', 'party', 'hepi', 'hepi', 'terus']","['pengen', 'konglomerat', 'traktir', 'temen', 'temen', 'gue', 'party', 'party', 'hepi', 'hepi']","['pengen', 'jadi', 'konglomerat', 'biar', 'bisa', 'traktir', 'temen', 'temen', 'saya', 'tiap', 'hari', 'party', 'party', 'hepi', 'hepi', 'terus']","['ken', 'jadi', 'konglomerat', 'biar', 'bisa', 'traktir', 'temen', 'temen', 'saya', 'tiap', 'hari', 'party', 'party', 'hepi', 'hepi', 'terus']"
183,184,adek gun bontar lagi ulang tahun dikasih apa ya sama haus ngerencanain party juga nihasik kan ntar pasti seru banget,1,"['adek', 'gun', 'bontar', 'lagi', 'ulang', 'tahun', 'dikasih', 'apa', 'ya', 'sama', 'haus', 'ngerencanain', 'party', 'juga', 'nihasik', 'kan', 'ntar', 'pasti', 'seru', 'banget']","['adek', 'gun', 'bontar', 'ulang', 'dikasih', 'haus', 'ngerencanain', 'party', 'nihasik', 'ntar', 'seru', 'banget']","['adek', 'gun', 'bontar', 'lagi', 'ulang', 'tahun', 'dikasih', 'apa', 'ya', 'sama', 'haus', 'ngerencanain', 'party', 'juga', 'nihasik', 'kan', 'ntar', 'pasti', 'seru', 'banget']","['adek', 'gun', 'bontar', 'lagi', 'ulang', 'tahun', 'kasih', 'apa', 'ya', 'sama', 'haus', 'ngerencanain', 'party', 'juga', 'nihasik', 'kan', 'ntar', 'pasti', 'seru', 'banget']"
184,185,hidup tuh indahhhhh banget kalo punya banyak temen,1,"['hidup', 'tuh', 'indahhhhh', 'banget', 'kalo', 'punya', 'banyak', 'temen']","['hidup', 'indahhhhh', 'banget', 'temen']","['hidup', 'tuh', 'indahhhhh', 'banget', 'kalau', 'punya', 'banyak', 'temen']","['hidup', 'tuh', 'indahhhhh', 'banget', 'kalau', 'punya', 'banyak', 'temen']"
185,186,aku ingin bahagia hidup kaya raya dikelilingi banyak saudara dan teman teman,1,"['aku', 'ingin', 'bahagia', 'hidup', 'kaya', 'raya', 'dikelilingi', 'banyak', 'saudara', 'dan', 'teman', 'teman']","['bahagia', 'hidup', 'kaya', 'raya', 'dikelilingi', 'saudara', 'teman', 'teman']","['saya', 'ingin', 'bahagia', 'hidup', 'kaya', 'raya', 'dikelilingi', 'banyak', 'saudara', 'dan', 'teman', 'teman']","['saya', 'ingin', 'bahagia', 'hidup', 'kaya', 'raya', 'keliling', 'banyak', 'saudara', 'dan', 'teman', 'teman']"
186,187,bahagia itu sederhana bisa setiap saat liburan bareng temen temen,1,"['bahagia', 'itu', 'sederhana', 'bisa', 'setiap', 'saat', 'liburan', 'bareng', 'temen', 'temen']","['bahagia', 'sederhana', 'liburan', 'bareng', 'temen', 'temen']","['bahagia', 'itu', 'sederhana', 'bisa', 'setiap', 'saat', 'liburan', 'bareng', 'temen', 'temen']","['bahagia', 'itu', 'sederhana', 'bisa', 'tiap', 'saat', 'libur', 'bareng', 'temen', 'temen']"
187,188,lebih memilih makan sederhana asal bareng temen temen daripada nongkrong di cafe fancy sendirian doang,1,"['lebih', 'memilih', 'makan', 'sederhana', 'asal', 'bareng', 'temen', 'temen', 'daripada', 'nongkrong', 'di', 'cafe', 'fancy', 'sendirian', 'doang']","['memilih', 'makan', 'sederhana', 'bareng', 'temen', 'temen', 'nongkrong', 'cafe', 'fancy', 'doang']","['lebih', 'memilih', 'makan', 'sederhana', 'asal', 'bareng', 'temen', 'temen', 'daripada', 'nongkrong', 'di', 'cafe', 'fancy', 'sendirian', 'doang']","['lebih', 'pilih', 'makan', 'sederhana', 'asal', 'bareng', 'temen', 'temen', 'daripada', 'nongkrong', 'di', 'cafe', 'fancy', 'sendiri', 'doang']"
188,189,dulu waktu kuliah tanggal tua duit habis tetep ceria dan bahagia karna satu kontrakan bareng temen temen melarat semua juga hahahahaaa,1,"['dulu', 'waktu', 'kuliah', 'tanggal', 'tua', 'duit', 'habis', 'tetep', 'ceria', 'dan', 'bahagia', 'karna', 'satu', 'kontrakan', 'bareng', 'temen', 'temen', 'melarat', 'semua', 'juga', 'hahahahaaa']","['kuliah', 'tanggal', 'tua', 'duit', 'habis', 'tetep', 'ceria', 'bahagia', 'karna', 'kontrakan', 'bareng', 'temen', 'temen', 'melarat', 'hahahahaaa']","['dulu', 'waktu', 'kuliah', 'tanggal', 'tua', 'duit', 'habis', 'tetep', 'ceria', 'dan', 'bahagia', 'karena', 'satu', 'kontrakan', 'bareng', 'temen', 'temen', 'melarat', 'semua', 'juga', 'hahahahaaa']","['dulu', 'waktu', 'kuliah', 'tanggal', 'tua', 'duit', 'habis', 'tetep', 'ceria', 'dan', 'bahagia', 'karena', 'satu', 'kontra', 'bareng', 'temen', 'temen', 'melarat', 'semua', 'juga', 'hahahahaaa']"
189,190,ya tuhan jadikanlah aku dan teman temanku lulus bareng tahun ini supaya kami tetap bisa barengbareng sampai kapanpun,1,"['ya', 'tuhan', 'jadikanlah', 'aku', 'dan', 'teman', 'temanku', 'lulus', 'bareng', 'tahun', 'ini', 'supaya', 'kami', 'tetap', 'bisa', 'barengbareng', 'sampai', 'kapanpun']","['tuhan', 'jadikanlah', 'teman', 'temanku', 'lulus', 'bareng', 'barengbareng']","['ya', 'tuhan', 'jadikanlah', 'saya', 'dan', 'teman', 'temanku', 'lulus', 'bareng', 'tahun', 'ini', 'supaya', 'kami', 'tetap', 'bisa', 'barengbareng', 'sampai', 'kapanpun']","['ya', 'tuhan', 'jadi', 'saya', 'dan', 'teman', 'teman', 'lulus', 'bareng', 'tahun', 'ini', 'supaya', 'kami', 'tetap', 'bisa', 'barengbareng', 'sampai', 'kapan']"
190,191,gak usah di private dong kalau kita punya akun instagram atau  biar otomatis aja bisa banian yang follow kan seru,1,"['gak', 'usah', 'di', 'private', 'dong', 'kalau', 'kita', 'punya', 'akun', 'instagram', 'atau', 'biar', 'otomatis', 'aja', 'bisa', 'banian', 'yang', 'follow', 'kan', 'seru']","['private', 'akun', 'instagram', 'otomatis', 'banian', 'follow', 'seru']","['tidak', 'usah', 'di', 'private', 'dong', 'kalau', 'kita', 'punya', 'akun', 'instagram', 'atau', 'biar', 'otomatis', 'saja', 'bisa', 'banian', 'yang', 'follow', 'kan', 'seru']","['tidak', 'usah', 'di', 'private', 'dong', 'kalau', 'kita', 'punya', 'akun', 'instagram', 'atau', 'biar', 'otomatis', 'saja', 'bisa', 'banian', 'yang', 'follow', 'kan', 'seru']"
191,192,daripada independent sendiri gue mending sharing ke temen temen gue siapa tau makin banyak orang nanti makin banyak juga yang bantuin kan,1,"['daripada', 'independent', 'sendiri', 'gue', 'mending', 'sharing', 'ke', 'temen', 'temen', 'gue', 'siapa', 'tau', 'makin', 'banyak', 'orang', 'nanti', 'makin', 'banyak', 'juga', 'yang', 'bantuin', 'kan']","['independent', 'gue', 'mending', 'sharing', 'temen', 'temen', 'gue', 'orang', 'bantuin']","['daripada', 'independent', 'sendiri', 'saya', 'mending', 'sharing', 'ke', 'temen', 'temen', 'saya', 'siapa', 'tahu', 'makin', 'banyak', 'orang', 'nanti', 'makin', 'banyak', 'juga', 'yang', 'bantuin', 'kan']","['daripada', 'independent', 'sendiri', 'saya', 'mending', 'sharing', 'ke', 'temen', 'temen', 'saya', 'siapa', 'tahu', 'makin', 'banyak', 'orang', 'nanti', 'makin', 'banyak', 'juga', 'yang', 'bantuin', 'kan']"
192,193,takut ngerepotin tapi daripada gue gak bisa selesei kalo ngerjain sendiri mendingan gue bareng bareng kerja kelompok sama temen deh,1,"['takut', 'ngerepotin', 'tapi', 'daripada', 'gue', 'gak', 'bisa', 'selesei', 'kalo', 'ngerjain', 'sendiri', 'mendingan', 'gue', 'bareng', 'bareng', 'kerja', 'kelompok', 'sama', 'temen', 'deh']","['takut', 'ngerepotin', 'gue', 'selesei', 'ngerjain', 'mendingan', 'gue', 'bareng', 'bareng', 'kerja', 'kelompok', 'temen', 'deh']","['takut', 'ngerepotin', 'tetapi', 'daripada', 'saya', 'tidak', 'bisa', 'selesei', 'kalau', 'ngerjain', 'sendiri', 'mendingan', 'saya', 'bareng', 'bareng', 'kerja', 'kelompok', 'sama', 'temen', 'deh']","['takut', 'ngerepotin', 'tetapi', 'daripada', 'saya', 'tidak', 'bisa', 'selesei', 'kalau', 'ngerjain', 'sendiri', 'mending', 'saya', 'bareng', 'bareng', 'kerja', 'kelompok', 'sama', 'temen', 'deh']"
193,194,ya allah sibukkanlah aku dengan berbagai kegiatan dan acara dengan teman temanku supaya tidak terasa waktu dan tidak kesepian,1,"['ya', 'allah', 'sibukkanlah', 'aku', 'dengan', 'berbagai', 'kegiatan', 'dan', 'acara', 'dengan', 'teman', 'temanku', 'supaya', 'tidak', 'terasa', 'waktu', 'dan', 'tidak', 'kesepian']","['allah', 'sibukkanlah', 'kegiatan', 'acara', 'teman', 'temanku', 'kesepian']","['ya', 'allah', 'sibukkanlah', 'saya', 'dengan', 'berbagai', 'kegiatan', 'dan', 'acara', 'dengan', 'teman', 'temanku', 'supaya', 'tidak', 'terasa', 'waktu', 'dan', 'tidak', 'kesepian']","['ya', 'allah', 'sibuk', 'saya', 'dengan', 'bagai', 'giat', 'dan', 'acara', 'dengan', 'teman', 'teman', 'supaya', 'tidak', 'asa', 'waktu', 'dan', 'tidak', 'sepi']"
194,195,excited banget mau makan di restoran baru nyobain menu menu barunya,1,"['excited', 'banget', 'mau', 'makan', 'di', 'restoran', 'baru', 'nyobain', 'menu', 'menu', 'barunya']","['excited', 'banget', 'makan', 'restoran', 'nyobain', 'menu', 'menu', 'barunya']","['excited', 'banget', 'mau', 'makan', 'di', 'restoran', 'baru', 'nyobain', 'menu', 'menu', 'barunya']","['excited', 'banget', 'mau', 'makan', 'di', 'restoran', 'baru', 'nyobain', 'menu', 'menu', 'baru']"
195,196,daripada sedih sedih lebih baik kita membuat momen indah bersama,1,"['daripada', 'sedih', 'sedih', 'lebih', 'baik', 'kita', 'membuat', 'momen', 'indah', 'bersama']","['sedih', 'sedih', 'momen', 'indah']","['daripada', 'sedih', 'sedih', 'lebih', 'baik', 'kita', 'membuat', 'momen', 'indah', 'bersama']","['daripada', 'sedih', 'sedih', 'lebih', 'baik', 'kita', 'buat', 'momen', 'indah', 'sama']"
196,197,akan kuhadapi semuanya asalkan bareng bareng temen,1,"['akan', 'kuhadapi', 'semuanya', 'asalkan', 'bareng', 'bareng', 'temen']","['kuhadapi', 'bareng', 'bareng', 'temen']","['akan', 'kuhadapi', 'semuanya', 'asalkan', 'bareng', 'bareng', 'temen']","['akan', 'hadap', 'semua', 'asal', 'bareng', 'bareng', 'temen']"
197,198,kalo udah mumet gue bakal istirahat kerja cari temen buat liburan rame rame,1,"['kalo', 'udah', 'mumet', 'gue', 'bakal', 'istirahat', 'kerja', 'cari', 'temen', 'buat', 'liburan', 'rame', 'rame']","['udah', 'mumet', 'gue', 'istirahat', 'kerja', 'cari', 'temen', 'liburan', 'rame', 'rame']","['kalau', 'sudah', 'mumet', 'saya', 'bakal', 'istirahat', 'kerja', 'cari', 'temen', 'buat', 'liburan', 'rame', 'rame']","['kalau', 'sudah', 'mumet', 'saya', 'bakal', 'istirahat', 'kerja', 'cari', 'temen', 'buat', 'libur', 'rame', 'rame']"
198,199,tengah malem di coffee shop masih rame banget gini seneng deh,1,"['tengah', 'malem', 'di', 'coffee', 'shop', 'masih', 'rame', 'banget', 'gini', 'seneng', 'deh']","['malem', 'coffee', 'shop', 'rame', 'banget', 'gini', 'seneng', 'deh']","['tengah', 'malem', 'di', 'coffee', 'shop', 'masih', 'rame', 'banget', 'gini', 'seneng', 'deh']","['tengah', 'malem', 'di', 'coffee', 'shop', 'masih', 'rame', 'banget', 'gin', 'neng', 'deh']"
199,200,terimakasih ya buat semua yang udah dateng ke acara ulang tahun gueseneng deh bisa rayain rame rame gini,1,"['terimakasih', 'ya', 'buat', 'semua', 'yang', 'udah', 'dateng', 'ke', 'acara', 'ulang', 'tahun', 'gueseneng', 'deh', 'bisa', 'rayain', 'rame', 'rame', 'gini']","['terimakasih', 'udah', 'dateng', 'acara', 'ulang', 'gueseneng', 'deh', 'rayain', 'rame', 'rame', 'gini']","['terima kasih', 'ya', 'buat', 'semua', 'yang', 'sudah', 'dateng', 'ke', 'acara', 'ulang', 'tahun', 'gueseneng', 'deh', 'bisa', 'rayain', 'rame', 'rame', 'gini']","['terima kasih', 'ya', 'buat', 'semua', 'yang', 'sudah', 'dateng', 'ke', 'acara', 'ulang', 'tahun', 'gueseneng', 'deh', 'bisa', 'rayain', 'rame', 'rame', 'gin']"
200,201,ya tuhan aku rela kok tabungan menipis gapapa asal tetep bisa liburan rame rame bareng temen temenku ini selamanyaaaaa,1,"['ya', 'tuhan', 'aku', 'rela', 'kok', 'tabungan', 'menipis', 'gapapa', 'asal', 'tetep', 'bisa', 'liburan', 'rame', 'rame', 'bareng', 'temen', 'temenku', 'ini', 'selamanyaaaaa']","['tuhan', 'rela', 'tabungan', 'menipis', 'gapapa', 'tetep', 'liburan', 'rame', 'rame', 'bareng', 'temen', 'temenku', 'selamanyaaaaa']","['ya', 'tuhan', 'saya', 'rela', 'kok', 'tabungan', 'menipis', 'tidak apa apa', 'asal', 'tetep', 'bisa', 'liburan', 'rame', 'rame', 'bareng', 'temen', 'temenku', 'ini', 'selamanyaaaaa']","['ya', 'tuhan', 'saya', 'rela', 'kok', 'tabung', 'tip', 'tidak apa apa', 'asal', 'tetep', 'bisa', 'libur', 'rame', 'rame', 'bareng', 'temen', 'temenku', 'ini', 'selamanyaaaaa']"
201,202,seneng banget tadi gue habis ke acara pentas sekolah gue yang dulu akhirnya bisa ketemu sama orangorang baru dan orang lama yang gue kenal,1,"['seneng', 'banget', 'tadi', 'gue', 'habis', 'ke', 'acara', 'pentas', 'sekolah', 'gue', 'yang', 'dulu', 'akhirnya', 'bisa', 'ketemu', 'sama', 'orangorang', 'baru', 'dan', 'orang', 'lama', 'yang', 'gue', 'kenal']","['seneng', 'banget', 'gue', 'habis', 'acara', 'pentas', 'sekolah', 'gue', 'ketemu', 'orangorang', 'orang', 'gue', 'kenal']","['seneng', 'banget', 'tadi', 'saya', 'habis', 'ke', 'acara', 'pentas', 'sekolah', 'saya', 'yang', 'dulu', 'akhirnya', 'bisa', 'ketemu', 'sama', 'orangorang', 'baru', 'dan', 'orang', 'lama', 'yang', 'saya', 'kenal']","['neng', 'banget', 'tadi', 'saya', 'habis', 'ke', 'acara', 'pentas', 'sekolah', 'saya', 'yang', 'dulu', 'akhir', 'bisa', 'ketemu', 'sama', 'orangorang', 'baru', 'dan', 'orang', 'lama', 'yang', 'saya', 'kenal']"
