EXTRAVERSION,AGREEABLENESS,CONSCIENTIOUSNESS,NEUROTICISM,OPENNESS,tokens,tokens_fdist,normalized
gue dan pacar lagi planning liburan bersama rencananya sih mau travelling bareng seru banget,"telat karena macet di gbk tadi, tapi malah jadi kesempatan kenal orang baru dan cerita bareng. semoga kedepannya jalanan lebih lancar ya! 😊",guys jangan lupa buat olahraga disela-sela kesibukan ya! karena olahraga tuh ngaruh banget sama kesehatan kalian,kenapa ya gue selalu gak percaya kalo ada orang yang sayang sama gue?,kira-kira reinkarnasi itu nyata gak sih? penasaran banget,"['gue', 'dan', 'pacar', 'lagi', 'planning', 'liburan', 'bersama', 'rencananya', 'sih', 'mau', 'travelling', 'bareng', 'seru', 'banget']","['gue', 'pacar', 'planning', 'liburan', 'rencananya', 'travelling', 'bareng', 'seru', 'banget']","['saya', 'dan', 'pacar', 'lagi', 'planning', 'liburan', 'bersama', 'rencananya', 'sih', 'mau', 'travelling', 'bareng', 'seru', 'banget']"
sumpah tadi gue sama temen gue nongkrong di caf sampe cafenya mau tutup huhu,tiap kali gue duduk di transportasi umum dan ngelihat ibu hamil/lansia gue pasti langsung berdiri. kecil tapi berarti banget si tindakan itu,"pagi-pagi waktunya buat produktif, dgn persiapan yang matang, semuanya bisa dikerjain selesai tiap waktu","kenapa hidup gue selalu diterpa masalah, ga kaya temen gue yang hidupnya selalu aman dan damai. seakan-akan gue ga dikasih waktu buat nafas","kadang ilham itu dateng secara tiba-tiba dan di tempat yang gak terduga, kadang lagi bengong aja tiba-tiba muncul ide yang menarik dan cukup brillian juga","['sumpah', 'tadi', 'gue', 'sama', 'temen', 'gue', 'nongkrong', 'di', 'caf', 'sampe', 'cafenya', 'mau', 'tutup', 'huhu']","['sumpah', 'gue', 'temen', 'gue', 'nongkrong', 'caf', 'sampe', 'cafenya', 'tutup', 'huhu']","['sumpah', 'tadi', 'saya', 'sama', 'temen', 'saya', 'nongkrong', 'di', 'caf', 'sampe', 'cafenya', 'mau', 'tutup', 'huhu']"
ini gue nonton konser bareng sm geng gue gila seru polll,kebaikan hati adalah investasi terbaik,bangga banget punya tim kerja yang solid. tiap proyek yang kita jalanin selalu beres dengan hasil yang memuaskan. kolaborasi dan tanggung jawab bareng-bareng itu kunci kesuksesan dalam tim menurutku,"kenapa hidup ga adil banget, kenapa gue yang udah usaha mati matian malah susah. yang santai malah bisa sukses",kira-kira apa ya yang ada dipikiran seorang seniman saat buat lukisan? karena gue selalu tertarik banget sama cerita di balik setiap lukisan yang dibuat,"['ini', 'gue', 'nonton', 'konser', 'bareng', 'sm', 'geng', 'gue', 'gila', 'seru', 'polll']","['gue', 'nonton', 'konser', 'bareng', 'sm', 'geng', 'gue', 'gila', 'seru', 'polll']","['ini', 'saya', 'nonton', 'konser', 'bareng', 'sm', 'geng', 'saya', 'gila', 'seru', 'polll']"
pacar gue cerita curhat tentang hariharinya dan gue seneng bisa jadi pendengar setia hubungan yang saling percaya itu penting banget ya,"liat komen tiktok katanya lama banget antrinya, jadi males nyoba makanan viral itu deh :(","temenku udah bikin rencana buat bangun start-up setelah lulus kuliah, keren banget aku juga mau cepet cepet lulus dan bangun start-up yang keren","gue mau minggat aja dari sini, gak ada yang sayang gue lagi, semuanya ngebully gue ","berani keluar dari zona nyaman dan mencoba hal baru. ternyata, hidup ini penuh dengan kejutan","['pacar', 'gue', 'cerita', 'curhat', 'tentang', 'hariharinya', 'dan', 'gue', 'seneng', 'bisa', 'jadi', 'pendengar', 'setia', 'hubungan', 'yang', 'saling', 'percaya', 'itu', 'penting', 'banget', 'ya']","['pacar', 'gue', 'cerita', 'curhat', 'hariharinya', 'gue', 'seneng', 'pendengar', 'setia', 'hubungan', 'percaya', 'banget']","['pacar', 'saya', 'cerita', 'curhat', 'tentang', 'hariharinya', 'dan', 'saya', 'seneng', 'bisa', 'jadi', 'pendengar', 'setia', 'hubungan', 'yang', 'saling', 'percaya', 'itu', 'penting', 'banget', 'ya']"
gue sih seneng banget ya kita udah wfo lagi kayak biasabosen banget kerja sendirian wfh di rumah,"karma baik akan kembali ke orang orang yang baik, semua kebaikan yang kita perbuat untuk orang lain, itu artinya kita sedang berbuat baik ke diri kita juga.",lagi beres-beresin file file archives di laptop gue nih…parah banget udah lama gak gue beresin. supaya teratur dan rapi lagi kan..,gue orangnya panikan jadi jangan kagetin gue atau prank gue ya.,"banyak banget ide baru di kepala gueeee sampe mau meledak rasanya, gak sabar besok presentasi.","['gue', 'sih', 'seneng', 'banget', 'ya', 'kita', 'udah', 'wfo', 'lagi', 'kayak', 'biasabosen', 'banget', 'kerja', 'sendirian', 'wfh', 'di', 'rumah']","['gue', 'seneng', 'banget', 'udah', 'wfo', 'kayak', 'biasabosen', 'banget', 'kerja', 'wfh', 'rumah']","['saya', 'sih', 'seneng', 'banget', 'ya', 'kita', 'sudah', 'wfo', 'lagi', 'seperti', 'biasabosen', 'banget', 'kerja', 'sendirian', 'wfh', 'di', 'rumah']"
ada acara musik gratis di jakartaa ngundang tuluss lagiii pasti ramee bangett deh di sanaa,"suka ngomongin orang? coba introspeksi diri dulu, kita semua punya kekurangan.","orang lain gak bisa mempengaruhi aku buat memilih jalan yang salah, karena aku punya banyak cara untuk menolak ",udah gak punya lagi semangat hidup,"boikot dan blokade itu bisa jadi bentuk perlawanan. tapi yang penting, kita punya alasan yang kuat.","['ada', 'acara', 'musik', 'gratis', 'di', 'jakartaa', 'ngundang', 'tuluss', 'lagiii', 'pasti', 'ramee', 'bangett', 'deh', 'di', 'sanaa']","['acara', 'musik', 'gratis', 'jakartaa', 'ngundang', 'tuluss', 'lagiii', 'ramee', 'bangett', 'deh', 'sanaa']","['ada', 'acara', 'musik', 'gratis', 'di', 'jakartaa', 'ngundang', 'tuluss', 'lagiii', 'pasti', 'ramee', 'bangett', 'deh', 'di', 'sanaa']"
cerita seru tentang ngemall di jakarta beli skincare di guardian dan makeup di matahari habis itu muka gue berasa kayak seleb korea,"malem ini bawa bekal sedekah buat pengemis sekitar, mari berbagi rejeki!",ternyata baca buku di waktu luang sambil denger instrumen classic itu menenangkan banget!!,emang masih ada harapan ya buatku lanjut hidup? pendidikanku gak setinggi itu buat dapetin gaji yang besar,"meskipun masih aja ada manusia lemes yang ngomentarin gue karena ketolak snmptn yang ngebuat gue sempet down banget, tapi gue bersyukur karena itu gue jadi lebih semangat membuktikan diri gue bisa berjaya di universitas swasta dengan aktif mengikuti banyak hal-hal positif","['cerita', 'seru', 'tentang', 'ngemall', 'di', 'jakarta', 'beli', 'skincare', 'di', 'guardian', 'dan', 'makeup', 'di', 'matahari', 'habis', 'itu', 'muka', 'gue', 'berasa', 'kayak', 'seleb', 'korea']","['cerita', 'seru', 'ngemall', 'jakarta', 'beli', 'skincare', 'guardian', 'makeup', 'matahari', 'habis', 'muka', 'gue', 'berasa', 'kayak', 'seleb', 'korea']","['cerita', 'seru', 'tentang', 'ngemall', 'di', 'jakarta', 'beli', 'skincare', 'di', 'guardian', 'dan', 'makeup', 'di', 'matahari', 'habis', 'itu', 'muka', 'saya', 'berasa', 'seperti', 'seleb', 'korea']"
habis nonton drama dots bareng teman omg song jong ki ganteng bangeeettt,"gue lebih milih peace daripada drama. diskusi tuh bisa asik tanpa harus bikin gejolak, kan?","fokus sama diri sendiri. perbaiki yang perlu diperbaiki. lebih produktif, isi waktu buat upgrade skill, belajar hal baru. ","aku gak bisa tidur nyenyak, aku takut gagal, bebanku banyak banget aku gak sanggup",dengerin dongg pendapat yang lain... jangan maunya sendiri aja!!,"['habis', 'nonton', 'drama', 'dots', 'bareng', 'teman', 'omg', 'song', 'jong', 'ki', 'ganteng', 'bangeeettt']","['habis', 'nonton', 'drama', 'dots', 'bareng', 'teman', 'omg', 'song', 'jong', 'ki', 'ganteng', 'bangeeettt']","['habis', 'nonton', 'drama', 'dots', 'bareng', 'teman', 'omg', 'song', 'jong', 'ki', 'ganteng', 'bangeeettt']"
hari ini gue seneng banget karna ntar malen ada acara reuni akbar kampus gueasik banget nih ntar bisa ketemu temen temen lama gue,"ketika urusan terasa dipermudah, mungkin itu karna doa dari orang orang yang pernah kita bantu, so, jangan pernah berhenti berbuat baik ya!","merubah nasib tuh kan butuh kerja keras dong, ditambah komitmen dan pantang menyerah pastinya..","rasanya akhir akhir ini gue jadi gampang kesinggungan deh..ada orang ngomong dikit tentang gue, langsung gue keganggu dan tersinggung deh.","yang paling gue suka dulu, pelajaran kimia apalagi kalau udah bagian masuk ke laboratorium, dimana gue bisa mempelajari banyak eksperimen kimia yang baru.","['hari', 'ini', 'gue', 'seneng', 'banget', 'karna', 'ntar', 'malen', 'ada', 'acara', 'reuni', 'akbar', 'kampus', 'gueasik', 'banget', 'nih', 'ntar', 'bisa', 'ketemu', 'temen', 'temen', 'lama', 'gue']","['gue', 'seneng', 'banget', 'karna', 'ntar', 'malen', 'acara', 'reuni', 'akbar', 'kampus', 'gueasik', 'banget', 'ntar', 'ketemu', 'temen', 'temen', 'gue']","['hari', 'ini', 'saya', 'seneng', 'banget', 'karena', 'ntar', 'malen', 'ada', 'acara', 'reuni', 'akbar', 'kampus', 'gueasik', 'banget', 'nih', 'ntar', 'bisa', 'ketemu', 'temen', 'temen', 'lama', 'saya']"
malam ini kayaknya bakal jadi malam yang luar biasa bareng temen temen gue rencana gue bakal jalanjalan lihat city light jakarta bareng sama mereka,semoga allah tutup aib kita semasa hidup dan juga setelah kita diwafatkan.,"karir itu butuh kerja keras dan disiplin yang tinggi. ga cuma ngandelin keberuntungan, tapi harus rajin dan selalu siap dengan plan b yang udah di rencanain, gas teruss","gue gagal lagi dong, mana usaha gue udah mati-matian banget tapi tetep aja dapetin hasil yang ga sesuai ekspektasi. kapan hidup gue bakal berhasil",menemukan jenis sabun muka baru yang kayaknya cocok sama gue niih…ada bagusnya juga kan coba coba hal baru gini..,"['malam', 'ini', 'kayaknya', 'bakal', 'jadi', 'malam', 'yang', 'luar', 'biasa', 'bareng', 'temen', 'temen', 'gue', 'rencana', 'gue', 'bakal', 'jalanjalan', 'lihat', 'city', 'light', 'jakarta', 'bareng', 'sama', 'mereka']","['malam', 'kayaknya', 'malam', 'bareng', 'temen', 'temen', 'gue', 'rencana', 'gue', 'jalanjalan', 'lihat', 'city', 'light', 'jakarta', 'bareng']","['malam', 'ini', 'kayaknya', 'bakal', 'jadi', 'malam', 'yang', 'luar', 'biasa', 'bareng', 'temen', 'temen', 'saya', 'rencana', 'saya', 'bakal', 'jalanjalan', 'lihat', 'city', 'light', 'jakarta', 'bareng', 'sama', 'mereka']"
rumah gue hari ini rame banget ada saudara yang datang dan akhirnya kita nonton drama korea barengbareng seru banget dan semuanya jadi saling komentar,"etika itu bukan cuma di kantor atau sekolah, tapi juga di kehidupan sehari-hari. mangkanya, jadi orang harus sopan terus!",seneng deh kalau belajar sesuatu dan ada progressnya. semoga sampai tua gue nggak berhenti jadi orang yang suka belajar hal baru aamiin.,otak aku rasanya mau pecah mikirin ini semua gak selesai selesai,akhirnya bisaa lanjut nulis.... emang kalo malem hari itu otak lancar banget!,"['rumah', 'gue', 'hari', 'ini', 'rame', 'banget', 'ada', 'saudara', 'yang', 'datang', 'dan', 'akhirnya', 'kita', 'nonton', 'drama', 'korea', 'barengbareng', 'seru', 'banget', 'dan', 'semuanya', 'jadi', 'saling', 'komentar']","['rumah', 'gue', 'rame', 'banget', 'saudara', 'nonton', 'drama', 'korea', 'barengbareng', 'seru', 'banget', 'komentar']","['rumah', 'saya', 'hari', 'ini', 'rame', 'banget', 'ada', 'saudara', 'yang', 'datang', 'dan', 'akhirnya', 'kita', 'nonton', 'drama', 'korea', 'barengbareng', 'seru', 'banget', 'dan', 'semuanya', 'jadi', 'saling', 'komentar']"
kenya di setiap tempat wisata harus ada flying fox dehhh itu wahanaa seruu bangeet broo,"gue salut sama yang masih bisa kasih senyum ke orang kurang mampu. itu udah kayak berkah banget, ya.","risiko dari pekerjaan ini berat banget menurutku, mungkin lebih baik aku gak ngambil itu sekarang daripada aku gak bertanggung jawab","jujur gue dibikin banyak mikir, cape tapi gimana lagi ya","menurut gue, seni itu lebih dari sekadar gambar atau lagu. seni bisa jadi kunci untuk memahami diri sendiri dan dunia sekitar.","['kenya', 'di', 'setiap', 'tempat', 'wisata', 'harus', 'ada', 'flying', 'fox', 'dehhh', 'itu', 'wahanaa', 'seruu', 'bangeet', 'broo']","['kenya', 'wisata', 'flying', 'fox', 'dehhh', 'wahanaa', 'seruu', 'bangeet', 'broo']","['kenya', 'di', 'setiap', 'tempat', 'wisata', 'harus', 'ada', 'flying', 'fox', 'dehhh', 'itu', 'wahanaa', 'seruu', 'banget', 'broo']"
haechan gantengg bangett deh kalo model rambutnya up yang jidatnya keliatan gituuu wahhh parah sihh gantengnyaa,"kalo lagi ngeluh, ingetin diri sendiri buat bersyukur. masih banyak yang lebih susah dari kita.","pentingnya berpikir sebelum bertindak tuh nyata tau guys, jangan sampe kita nyakitin orang lain karena tindakan kita ya!","mau tidur, tapi gak mau bangun boleh gak sih?","kalo orang bilang sains membosankan, itu tandanya mereka belum ngerti betapa seru dan menariknya ilmu pengetahuan!","['haechan', 'gantengg', 'bangett', 'deh', 'kalo', 'model', 'rambutnya', 'up', 'yang', 'jidatnya', 'keliatan', 'gituuu', 'wahhh', 'parah', 'sihh', 'gantengnyaa']","['haechan', 'gantengg', 'bangett', 'deh', 'model', 'rambutnya', 'up', 'jidatnya', 'keliatan', 'gituuu', 'wahhh', 'parah', 'sihh', 'gantengnyaa']","['haechan', 'gantengg', 'bangett', 'deh', 'kalau', 'model', 'rambutnya', 'up', 'yang', 'jidatnya', 'keliatan', 'gituuu', 'wahhh', 'parah', 'sihh', 'gantengnyaa']"
ketemu temen lama langsung gue rangkul parah kangen banget,kalian kalau lagi free dan gada aktivitas mending ikut kegiatan sosial di lingkungan rumah kalian. banyak pengalaman yang bisa kalian dapetin pasti,"rencana itu penting buat ngarahin langkah kita. dgn rencana yang matang, semua tujuan bisa tercapai dengan lebih efisien","ngga ada yang tau betapa sulitnya hidup di tanah rantau, harus selalu pura-pura kuat di depan orang lain.","diskusi intelektual itu keren dan juga menambah wawasan kita banget. tapi jangan terlalu serius juga kali. santai aja gaes, ikutin flow diskusinya","['ketemu', 'temen', 'lama', 'langsung', 'gue', 'rangkul', 'parah', 'kangen', 'banget']","['ketemu', 'temen', 'langsung', 'gue', 'rangkul', 'parah', 'kangen', 'banget']","['ketemu', 'temen', 'lama', 'langsung', 'saya', 'rangkul', 'parah', 'kangen', 'banget']"
cerita tentang liburan ke seoul bersama tementemen jalanjalan di gangnam makan samgyeopsal dan belanja sepuasnya keren abis,"udahlah, gak usah cemburu terus sama yang lebih kaya. kita bisa bantu sesama dengan caranya masing-masing.","baru habis gajian, setelah liat wishlist ternyata banyak banget yang mau gue beli. gak jadi deh, mending gue tabung aja uangnya","aku selalu bantu orang lain, kenapa gak ada satupun yang mau bantu aku? apakah bantuanku ke mereka kurang?","ahhh aturan ga jelas, harus ditinjau ulang ga sihh!!","['cerita', 'tentang', 'liburan', 'ke', 'seoul', 'bersama', 'tementemen', 'jalanjalan', 'di', 'gangnam', 'makan', 'samgyeopsal', 'dan', 'belanja', 'sepuasnya', 'keren', 'abis']","['cerita', 'liburan', 'seoul', 'tementemen', 'jalanjalan', 'gangnam', 'makan', 'samgyeopsal', 'belanja', 'sepuasnya', 'keren', 'abis']","['cerita', 'tentang', 'liburan', 'ke', 'seoul', 'bersama', 'tementemen', 'jalanjalan', 'di', 'gangnam', 'makan', 'samgyeopsal', 'dan', 'belanja', 'sepuasnya', 'keren', 'abis']"
gue dan pacar lagi planning rencana masa depan mimpimimpi besar yang bakal kita raih bersama,"motor aku tadi tiba-tiba mati, untung aja ada mas-mas yang nolong. makasih yaa mas baik :)","jadwal kelas hari ini padet banget ditambah tanggungjawab lain kayak kerja partime, demi masa depan cerah aku akan semangat menjalani hari","maaf baperan, ngerasa gak ada yang menganggap soalnya","setuju banget,maka dari itu harus tetap bersatu dalam keberagaman budaya yang kita punyai","['gue', 'dan', 'pacar', 'lagi', 'planning', 'rencana', 'masa', 'depan', 'mimpimimpi', 'besar', 'yang', 'bakal', 'kita', 'raih', 'bersama']","['gue', 'pacar', 'planning', 'rencana', 'mimpimimpi', 'raih']","['saya', 'dan', 'pacar', 'lagi', 'planning', 'rencana', 'masa', 'depan', 'mimpimimpi', 'besar', 'yang', 'bakal', 'kita', 'raih', 'bersama']"
liburan impromptu bareng temanteman traveling ke tempat baru yang nggak pernah dikunjungi sebelumnya seru banget,terima kasih banyak buat para relawan palang merah yang selalu ada di saat-saat sulit. kalian pahlawan sejati!,"lagi banyak novel yang bagus tapi aku gak boleh boros, gaboleh jadi orang yang impulsive please","hidup gue belakangan ini kacau banget, bisa-bisa masa depan gue suram",kita butuh kebebasan berpendapat dan kebebasan berdebat seperti ini.,"['liburan', 'impromptu', 'bareng', 'temanteman', 'traveling', 'ke', 'tempat', 'baru', 'yang', 'nggak', 'pernah', 'dikunjungi', 'sebelumnya', 'seru', 'banget']","['liburan', 'impromptu', 'bareng', 'temanteman', 'traveling', 'nggak', 'dikunjungi', 'seru', 'banget']","['liburan', 'impromptu', 'bareng', 'temanteman', 'traveling', 'ke', 'tempat', 'baru', 'yang', 'nggak', 'pernah', 'dikunjungi', 'sebelumnya', 'seru', 'banget']"
tadi gue diundang ke acara ulangtahun nya mantan dan gua hadir disana agak gimana si tapi gue seneng krn gue ketemu sama tementemen gue juga,jangan lupa buat ngehargain orang lain yaa,"gue baru aja keterima kerja, suasana kantornya seru dan kerjanya juga dinamis banget. banyak tantangan juga, semoga bisa cepet beradaptasi","aku benci sama semua yang udah terjadi, benci juga sama keadaan, benci juga sama diri sendiri yang sampe sekarang gabisa buat ubah apa-apa","menurut gue, diskusi filosofis itu kayak makanan buat otak. bisa bikin kita lebih bijaksana dan terbuka","['tadi', 'gue', 'diundang', 'ke', 'acara', 'ulangtahun', 'nya', 'mantan', 'dan', 'gua', 'hadir', 'disana', 'agak', 'gimana', 'si', 'tapi', 'gue', 'seneng', 'krn', 'gue', 'ketemu', 'sama', 'tementemen', 'gue', 'juga']","['gue', 'diundang', 'acara', 'ulangtahun', 'mantan', 'gua', 'hadir', 'disana', 'gimana', 'gue', 'seneng', 'gue', 'ketemu', 'tementemen', 'gue']","['tadi', 'saya', 'diundang', 'ke', 'acara', 'ulangtahun', 'nya', 'mantan', 'dan', 'gua', 'hadir', 'disana', 'agak', 'bagaimana', 'si', 'tetapi', 'saya', 'seneng', 'karena', 'saya', 'ketemu', 'sama', 'tementemen', 'saya', 'juga']"
piknik ke dufan hari ini main roller coaster sampe mabuk kepayang seru banget kayak balik lagi jadi anak kecil,"gak usah jadi pemarah terus, guys. diskusi bisa lebih produktif tanpa harus ribut terus.","biar gak belanja macem-macem, gue mau bikin list apa-apa aja yang harus gue beli sebelum belanja.","gue abis diliatin sama orang-orang pas lagi jalan ke kampus, apa yang salah dari penampilan gue? harusnya gue gak pake outfit begini kali ya?","wuihh idenya jenius bangett cuii, rada aneh dikit sih wkwkkw","['piknik', 'ke', 'dufan', 'hari', 'ini', 'main', 'roller', 'coaster', 'sampe', 'mabuk', 'kepayang', 'seru', 'banget', 'kayak', 'balik', 'lagi', 'jadi', 'anak', 'kecil']","['piknik', 'dufan', 'main', 'roller', 'coaster', 'sampe', 'mabuk', 'kepayang', 'seru', 'banget', 'kayak', 'anak']","['piknik', 'ke', 'dufan', 'hari', 'ini', 'main', 'roller', 'coaster', 'sampe', 'mabuk', 'kepayang', 'seru', 'banget', 'seperti', 'balik', 'lagi', 'jadi', 'anak', 'kecil']"
seneng banget abis diajak muterin semarang liat city light,"salut sih sama orang yang mau jadi relawan, mereka tuh luar biasa",jangan mudah patah semangat! setiap kegagalan itu pelajaran buat jadi lebih baik.,"rasanya sakit banget, semua hal yang udah gue rencanai  berantakan dalam sekejap, nasib buruk memang bisa selalu datang kapan aja tanpa diundang",kalian ada yang suka alat musik tradisional? gue selalu kagum sama orang yang bisa main alat musik tradisional. hal itu menunjukan bahwa kebesaran dan keberagaman budaya kita harus dijaga,"['seneng', 'banget', 'abis', 'diajak', 'muterin', 'semarang', 'liat', 'city', 'light']","['seneng', 'banget', 'abis', 'diajak', 'muterin', 'semarang', 'liat', 'city', 'light']","['seneng', 'banget', 'abis', 'diajak', 'muterin', 'semarang', 'liat', 'city', 'light']"
excited banget mau makan di restoran baru nyobain menu menu barunya,"dalam islam diajarkan untuk membantu dan meringankan beban orang lain, maka allah akan meringankan beban kita juga.","pentingnya bikin plan a, plan b, sampai plan c kalo perlu, biar siap kalau kalau ada hal tak terduga..","duh…deg degan bangaet besok interview kerjaan gue di tempat kerja yang baru, nervous banget, gak yakin gue bakal bisa lulu semua tes nya..","mau sebanyak apapun ide yang udah kita punya, tetep masih harus mengasah kreativitas kita salah satunya dengan brainstorming..","['excited', 'banget', 'mau', 'makan', 'di', 'restoran', 'baru', 'nyobain', 'menu', 'menu', 'barunya']","['excited', 'banget', 'makan', 'restoran', 'nyobain', 'menu', 'menu', 'barunya']","['excited', 'banget', 'mau', 'makan', 'di', 'restoran', 'baru', 'nyobain', 'menu', 'menu', 'barunya']"
semakin banyak gue ikut grup arasan gue makin seneni walopun cuma grup nongkrong nongkrong dang juga gapapaaaasalkan rame karena makin rame gue makin seneeeeng,gue harap dunia ini bisa kita wujudkan jadi dunia yang penuh damai dan kebaikan.,"karena gue orangnya organized dan well planed, biasanya rencana rencana gue bisa terselesaikan dengan baik.","secepat apapun gue belajar, sekeras apapun gue berusaha, banyak rintangan rintangan yang sulit yang harus gue hadepin, itu yang bikin gue pesimis ngejalanin proyek ini.","tahun ini gue punya banyak hobi baru, salah satunya miara bonsai","['semakin', 'banyak', 'gue', 'ikut', 'grup', 'arasan', 'gue', 'makin', 'seneni', 'walopun', 'cuma', 'grup', 'nongkrong', 'nongkrong', 'dang', 'juga', 'gapapaaaasalkan', 'rame', 'karena', 'makin', 'rame', 'gue', 'makin', 'seneeeeng']","['gue', 'grup', 'arasan', 'gue', 'seneni', 'walopun', 'grup', 'nongkrong', 'nongkrong', 'dang', 'gapapaaaasalkan', 'rame', 'rame', 'gue', 'seneeeeng']","['semakin', 'banyak', 'saya', 'ikut', 'grup', 'arasan', 'saya', 'makin', 'seneni', 'walopun', 'cuma', 'grup', 'nongkrong', 'nongkrong', 'dang', 'juga', 'gapapaaaasalkan', 'rame', 'karena', 'makin', 'rame', 'saya', 'makin', 'seneeeeng']"
ya allah sibukkanlah aku dengan berbagai kegiatan dan acara dengan teman temanku supaya tidak terasa waktu dan tidak kesepian,"semoga lelah ini berubah jadi lillah..dan berbuah pahala, berusahalah terus menolong sesama","gue bakal serius belajar cpr di pelatihan dari kantor gue besok, kebayang kan, hal sepenting ini, harus bisa kita kuasai dengan sempurna dong!","masa gue harus terus terusan hidup kayak gini sih, sebatang kara, kapan ya semua kesedihan ini berakhir..","punya banyak impian itu seru, bisa jadi sarana buat ngembangin imajinasi kita juga dalam proses menuju kesana nya.","['ya', 'allah', 'sibukkanlah', 'aku', 'dengan', 'berbagai', 'kegiatan', 'dan', 'acara', 'dengan', 'teman', 'temanku', 'supaya', 'tidak', 'terasa', 'waktu', 'dan', 'tidak', 'kesepian']","['allah', 'sibukkanlah', 'kegiatan', 'acara', 'teman', 'temanku', 'kesepian']","['ya', 'allah', 'sibukkanlah', 'saya', 'dengan', 'berbagai', 'kegiatan', 'dan', 'acara', 'dengan', 'teman', 'temanku', 'supaya', 'tidak', 'terasa', 'waktu', 'dan', 'tidak', 'kesepian']"
hari ini ikut training omg kakak trainernya ganteng bangeeett boleh kali kak tukeran sosmed,"kalo lagi gak enak badan, jangan lupa istirahat ya. sehat-sehat itu penting.",aku baru aja menerima tawaran kakakku buat bantuin dia jadi model katalognya dia! aku yakin kalau aku bisa makanya aku iyain aja tawarannya ,kayaknya udah gaada yang bisa dibanggain dari diri gue ini,"plan b gue? akhirnya gue masuk jurusan informatika. awalnya ragu, tapi ternyata seneng banget eksplorasi di dunia teknologi!","['hari', 'ini', 'ikut', 'training', 'omg', 'kakak', 'trainernya', 'ganteng', 'bangeeett', 'boleh', 'kali', 'kak', 'tukeran', 'sosmed']","['training', 'omg', 'kakak', 'trainernya', 'ganteng', 'bangeeett', 'kali', 'kak', 'tukeran', 'sosmed']","['hari', 'ini', 'ikut', 'training', 'omg', 'kakak', 'trainernya', 'ganteng', 'bangeeett', 'boleh', 'kali', 'kak', 'tukeran', 'sosmed']"
temenin gue keluar yuuu,jangan lupa bersyukur dan berbuat baik tiap hari,punya tujuan yang jelas bikin kita lebih fokus loh gaes dan termotivasi.  jadi tiap langkah yang kita ambil pasti menuju ke tujuan itu.,sering kali gue bohong sama temen tentang keadaan gue sekarang. karena gua gamau aja temen gue pada tahu kalau betapa jeleknya keadaan gue yang sekarang,"gue suka banget kalau jalan-jalan di alam bebas, itu merupakan cara terbaik untuk membuat pikiran kita jauh lebih fresh. karena dari situ kita bisa nemuin inspirasi dari keindahan alam yg kita pandang","['temenin', 'gue', 'keluar', 'yuuu']","['temenin', 'gue', 'yuuu']","['temenin', 'saya', 'keluar', 'yuuu']"
daripada sedih sedih lebih baik kita membuat momen indah bersama,"kalau ada yang curhat sama kita tentang permasalahan permasalahan hidupnya, kita bantu dengan mendengarkan, bantu dia sampai emosinya reda.","pagi berangkat jam 7, siang jam 11 harus pindah lokasi ke kantor cabang, malamnya masih ada jadwal meeting online sama boss di kantor, untung udah gue planning semua agendanya..","belum seminggu nge kos gue udah homesick, panick attack sama kena anxiety karna harus ngelakuin apa apa sendirian.","kalo ada yang nyaranin diet dan program olahraga baru tertentu gue mau tuh..seru nyoba nyoba hal baru kan, siapa tau sukses.","['daripada', 'sedih', 'sedih', 'lebih', 'baik', 'kita', 'membuat', 'momen', 'indah', 'bersama']","['sedih', 'sedih', 'momen', 'indah']","['daripada', 'sedih', 'sedih', 'lebih', 'baik', 'kita', 'membuat', 'momen', 'indah', 'bersama']"
gue pengin basketan bareng sm temen sekolah gue deh,"jangan lupa buat selelu menghargai perbedaan budaya gaes, krn itulah yang bikin indonesia makin kaya",kerja keras itu wajib kalau mau sukses. jangan takut buat usaha ekstra demi capai tujuan. semangat kalian pasti bisaa,"pagi-pagi gue udah kepikirann bunuh diri aja, karena udah capek banget sama hidup gue. tekanan dari sana sini, bikin hidup gue tambah ga karuan, seakan-akan dunia gapernah ngasih jeda buat diri gue bahagia",kalian ada yang pernah ke festival budaya? menurut aku itu merupakan acara yang seru. kita bisa ngerasain suasana dan tradisi dari masing-masing budaya yang berbeda,"['gue', 'pengin', 'basketan', 'bareng', 'sm', 'temen', 'sekolah', 'gue', 'deh']","['gue', 'pengin', 'basketan', 'bareng', 'sm', 'temen', 'sekolah', 'gue', 'deh']","['saya', 'pengin', 'basketan', 'bareng', 'sm', 'temen', 'sekolah', 'saya', 'deh']"
